City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
477,gereida,11.2811,25.1414,28.0,63,25,4.82,SD,1721855093
478,gao,16.6362,1.637,28.18,52,38,7.95,ML,1721855094
479,la ronge,55.1001,-105.2842,27.14,54,40,8.23,CA,1721855095
480,al qusiyah,27.4402,30.8184,35.15,19,5,2.33,EG,1721855097
481,concordia,-31.393,-58.0209,22.04,64,75,2.57,AR,1721855098
482,arkalyk,50.2486,66.9114,17.99,58,89,4.21,KZ,1721855099
483,moapa valley,36.5805,-114.4703,41.95,18,94,2.41,US,1721855100
484,grand-lahou,5.1367,-5.0242,23.25,89,97,3.09,CI,1721855101
485,grantsville,40.5999,-112.4644,38.84,18,0,5.66,US,1721855103
486,concepcion,-36.827,-73.0498,12.89,76,40,4.12,CL,1721854822
487,merizo village,13.2658,144.6691,28.85,90,100,4.22,GU,1721855105
488,san luis de la loma,17.2706,-100.8939,31.06,65,98,3.96,MX,1721854720
489,le puy-en-velay,45.0437,3.8852,14.03,94,10,1.4,FR,1721855107
490,pingliang,35.5392,106.6861,18.0,78,0,2.02,CN,1721855109
491,bintulu,3.1667,113.0333,26.23,100,20,1.54,MY,1721855110
492,mercedes,-34.6515,-59.4307,18.81,66,32,3.66,AR,1721855111
493,cateel,7.7914,126.4533,25.73,84,100,1.31,PH,1721855112
494,zeya,53.75,127.2667,18.2,76,100,1.47,RU,1721855113
495,ath thawrah,35.8469,38.5443,29.03,60,0,11.53,SY,1721855115
496,rocha,-34.4833,-54.3333,20.04,75,34,4.14,UY,1721855116
497,shingu,33.7333,135.9833,26.09,88,79,2.03,JP,1721855117
498,la plata,-34.9215,-57.9545,18.26,89,97,2.87,AR,1721855118
499,salalah,17.0151,54.0924,26.05,94,100,3.09,OM,1721855119
500,igarka,67.4667,86.5833,10.55,97,100,2.51,RU,1721855120
501,hiratacho,35.4333,132.8167,26.01,89,36,1.03,JP,1721855122
502,tongouson,5.0214,120.1328,28.32,79,84,4.23,PH,1721855123
503,muborak,39.2553,65.1528,31.89,20,5,4.05,UZ,1721855124
504,nar'yan-mar,67.6713,53.087,11.57,72,96,3.68,RU,1721855125
505,crane,31.3974,-102.3501,33.47,22,0,3.42,US,1721855126
506,carutapera,-1.195,-46.02,24.73,93,7,3.83,BR,1721855128
507,indang,14.2,120.8833,26.14,90,100,5.87,PH,1721855129
508,miri,4.4148,114.0089,25.08,100,20,0.0,MY,1721855130
509,serdar,38.9764,56.2757,32.73,26,0,1.75,TM,1721855131
510,cambria,35.5641,-121.0808,40.43,61,32,2.72,US,1721855132
511,melfort,52.8667,-104.6177,26.07,65,27,5.14,CA,1721855133
512,fort st. john,56.2499,-120.8529,18.94,52,75,3.6,CA,1721854951
513,saint-philippe,-21.3585,55.7679,18.77,79,38,4.01,RE,1721855136
514,guangming,45.3333,122.7833,21.07,68,88,2.58,CN,1721855137
515,kralendijk,12.15,-68.2667,30.99,66,20,9.77,BQ,1721855111
516,nyagan,62.1406,65.3936,9.28,70,100,2.79,RU,1721855139
517,kilju,40.9642,129.3278,21.44,94,28,1.36,KP,1721855140
518,sao joao da barra,-21.6403,-41.0511,21.05,73,6,5.37,BR,1721855142
519,mogocha,53.7333,119.7667,17.11,80,2,1.31,RU,1721855143
520,port augusta,-32.5,137.7667,9.34,93,97,1.57,AU,1721855144
521,cedeira,43.6797,-8.0209,20.03,4,67,8.45,ES,1721855145
522,weinan,34.5036,109.5089,25.57,66,94,2.27,CN,1721855148
523,'ayn al 'arab,36.8932,38.3651,30.48,33,12,3.7,SY,1721855149
524,catia la mar,10.6038,-67.0303,33.11,46,72,2.57,VE,1721855150
525,altamont,42.2068,-121.7372,35.78,31,0,4.63,US,1721855151
526,fisterra,42.9049,-9.2629,21.12,87,17,10.62,ES,1721855153
527,manokwari,-0.8667,134.0833,24.8,85,95,1.6,ID,1721855154
528,quatre cocos,-20.2078,57.7625,21.06,69,2,4.36,MU,1721855155
